Date,Channel,Device,Country,Landing_Page_Visits,Added_to_Cart,Checkout_Started,Purchased,View_to_Cart_Rate,Cart_to_Checkout_Rate,Checkout_to_Purchase_Rate,Overall_Conversion_Rate,Revenue
2026-01-01,Paid Social,Tablet,South America,3264,1431,775,436,0.4384,0.5416,0.5626,0.1336,38804
2026-01-02,Paid Social,Mobile,Asia,28826,14951,10125,4294,0.5187,0.6772,0.4241,0.149,300580
2026-01-03,Organic Search,Mobile,Asia,18479,10066,6622,3420,0.5447,0.6579,0.5165,0.1851,318060
2026-01-04,Referral,Tablet,Asia,34042,13048,7182,3756,0.3833,0.5504,0.523,0.1103,480768
2026-01-05,Paid Search,Desktop,North America,32199,15872,10163,4578,0.4929,0.6403,0.4505,0.1422,535626
2026-01-06,Referral,Mobile,North America,6214,3148,1854,754,0.5066,0.5889,0.4067,0.1213,60320
2026-01-07,Email,Tablet,Asia,2158,794,471,297,0.3679,0.5932,0.6306,0.1376,21087
2026-01-08,Paid Search,Mobile,Europe,34124,12148,5588,3183,0.356,0.46,0.5696,0.0933,557025
2026-01-09,Direct,Tablet,North America,1265,689,445,277,0.5447,0.6459,0.6225,0.219,30470
2026-01-10,Direct,Desktop,Asia,17136,8722,5229,2921,0.509,0.5995,0.5586,0.1705,376809
2026-01-11,Email,Tablet,Asia,3659,2071,1211,689,0.566,0.5847,0.569,0.1883,88881
2026-01-12,Email,Mobile,South America,18109,11166,5471,3067,0.6166,0.49,0.5606,0.1694,496854
2026-01-13,Paid Social,Desktop,North America,16773,10854,6511,3054,0.6471,0.5999,0.4691,0.1821,577206
2026-01-14,Paid Social,Mobile,South America,16666,6995,3809,2294,0.4197,0.5445,0.6023,0.1376,201872
2026-01-15,Email,Desktop,South America,17979,11095,5257,2157,0.6171,0.4738,0.4103,0.12,336492
2026-01-16,Email,Tablet,North America,29794,15674,6914,3937,0.5261,0.4411,0.5694,0.1321,606298
2026-01-17,Email,Mobile,South America,21787,13588,9004,4103,0.6237,0.6626,0.4557,0.1883,512875
2026-01-18,Referral,Mobile,South America,10659,4763,2881,1527,0.4469,0.6049,0.53,0.1433,280968
2026-01-19,Referral,Tablet,South America,23831,14452,9691,4040,0.6064,0.6706,0.4169,0.1695,484800
2026-01-20,Direct,Tablet,Europe,11992,6338,2829,1764,0.5285,0.4464,0.6235,0.1471,174636
2026-01-21,Organic Search,Tablet,Asia,22952,10917,5655,3224,0.4756,0.518,0.5701,0.1405,344968
2026-01-22,Paid Search,Tablet,South America,34593,18169,8980,3648,0.5252,0.4942,0.4062,0.1055,423168
2026-01-23,Paid Search,Desktop,Europe,6671,3535,1860,875,0.5299,0.5262,0.4704,0.1312,104125
2026-01-24,Referral,Desktop,South America,4657,1666,754,365,0.3577,0.4526,0.4841,0.0784,23725
2026-01-25,Paid Search,Mobile,Europe,26475,10878,6814,3353,0.4109,0.6264,0.4921,0.1266,315182
2026-01-26,Direct,Tablet,North America,6096,3272,1911,1034,0.5367,0.584,0.5411,0.1696,102366
2026-01-27,Paid Search,Tablet,Asia,15805,8209,4465,2741,0.5194,0.5439,0.6139,0.1734,339884
2026-01-28,Referral,Desktop,Europe,33329,14553,7336,4082,0.4366,0.5041,0.5564,0.1225,583726
2026-01-29,Email,Desktop,North America,20790,7469,3826,1886,0.3593,0.5123,0.4929,0.0907,226320
2026-01-30,Paid Social,Mobile,Europe,17758,7137,4195,2391,0.4019,0.5878,0.57,0.1346,435162
2026-01-31,Referral,Desktop,South America,3703,1615,1058,535,0.4361,0.6551,0.5057,0.1445,85065
2026-02-01,Paid Social,Tablet,Europe,16312,6829,3484,1764,0.4186,0.5102,0.5063,0.1081,171108
2026-02-02,Direct,Tablet,Europe,19378,11773,7362,3947,0.6075,0.6253,0.5361,0.2037,205244
2026-02-03,Direct,Desktop,South America,24941,9206,6313,3349,0.3691,0.6857,0.5305,0.1343,478907
2026-02-04,Organic Search,Tablet,South America,34765,12303,5938,3759,0.3539,0.4826,0.633,0.1081,311997
2026-02-05,Email,Mobile,Europe,15673,6956,4894,2059,0.4438,0.7036,0.4207,0.1314,144130
2026-02-06,Paid Social,Mobile,Asia,6039,2322,1543,765,0.3845,0.6645,0.4958,0.1267,54315
2026-02-07,Email,Mobile,Europe,16041,10196,5627,2604,0.6356,0.5519,0.4628,0.1623,143220
2026-02-08,Organic Search,Mobile,Europe,31670,13108,5663,2274,0.4139,0.432,0.4016,0.0718,302442
2026-02-09,Email,Tablet,Asia,22867,14547,7717,3273,0.6362,0.5305,0.4241,0.1431,454947
2026-02-10,Paid Search,Desktop,South America,16936,6733,4162,1598,0.3976,0.6181,0.384,0.0944,155006
2026-02-11,Email,Desktop,Europe,18980,9385,5261,3031,0.4945,0.5606,0.5761,0.1597,266728
2026-02-12,Paid Social,Desktop,Asia,29001,11474,6109,2974,0.3956,0.5324,0.4868,0.1025,469892
2026-02-13,Referral,Mobile,North America,25990,16409,9076,3904,0.6314,0.5531,0.4301,0.1502,421632
2026-02-14,Email,Tablet,Europe,16805,6123,2591,1205,0.3644,0.4232,0.4651,0.0717,208465
2026-02-15,Paid Social,Tablet,Europe,8937,4261,2237,1228,0.4768,0.525,0.5489,0.1374,104380
2026-02-16,Referral,Desktop,Asia,22713,8489,4589,2621,0.3738,0.5406,0.5711,0.1154,450812
2026-02-17,Direct,Mobile,North America,9235,3740,2420,943,0.405,0.6471,0.3897,0.1021,99015
2026-02-18,Referral,Tablet,Europe,31571,13863,9010,4850,0.4391,0.6499,0.5383,0.1536,397700
2026-02-19,Email,Tablet,Asia,27225,17280,7399,3603,0.6347,0.4282,0.487,0.1323,616113
2026-02-20,Paid Social,Desktop,Europe,2965,1616,784,433,0.545,0.4851,0.5523,0.146,90930
2026-02-21,Paid Social,Mobile,Europe,31136,17159,11368,6580,0.5511,0.6625,0.5788,0.2113,1296260
2026-02-22,Paid Search,Mobile,South America,12473,5078,3466,1881,0.4071,0.6826,0.5427,0.1508,171171
2026-02-23,Paid Search,Tablet,Asia,22776,12159,5199,2740,0.5339,0.4276,0.527,0.1203,375380
2026-02-24,Organic Search,Mobile,Europe,2666,1589,866,478,0.596,0.545,0.552,0.1793,77436
2026-02-25,Paid Search,Mobile,Europe,15987,8385,4053,2255,0.5245,0.4834,0.5564,0.1411,299915
2026-02-26,Organic Search,Tablet,South America,6514,2992,2046,948,0.4593,0.6838,0.4633,0.1455,180120
2026-02-27,Referral,Mobile,South America,20284,12188,8467,3240,0.6009,0.6947,0.3827,0.1597,343440
2026-02-28,Paid Social,Desktop,Asia,11428,4014,2011,1263,0.3512,0.501,0.628,0.1105,175557
2026-03-01,Paid Search,Tablet,Europe,3798,2300,1082,617,0.6056,0.4704,0.5702,0.1625,53062
2026-03-02,Email,Desktop,South America,8724,4990,2594,1171,0.572,0.5198,0.4514,0.1342,160427
2026-03-03,Organic Search,Tablet,South America,29051,14392,7589,4794,0.4954,0.5273,0.6317,0.165,278052
2026-03-04,Paid Social,Desktop,South America,29209,14995,8465,5043,0.5134,0.5645,0.5957,0.1727,731235
2026-03-05,Paid Search,Desktop,Asia,7261,3616,1977,1188,0.498,0.5467,0.6009,0.1636,115236
2026-03-06,Organic Search,Desktop,South America,5839,3534,2192,957,0.6052,0.6203,0.4366,0.1639,87087
2026-03-07,Referral,Mobile,Asia,12853,8025,3900,2104,0.6244,0.486,0.5395,0.1637,305080
2026-03-08,Direct,Desktop,North America,16480,9713,4519,1721,0.5894,0.4653,0.3808,0.1044,139401
2026-03-09,Paid Search,Tablet,South America,25335,12169,6331,3642,0.4803,0.5203,0.5753,0.1438,706548
2026-03-10,Referral,Mobile,Asia,25153,10449,6220,3123,0.4154,0.5953,0.5021,0.1242,534033
2026-03-11,Referral,Tablet,South America,14897,6495,2882,1810,0.436,0.4437,0.628,0.1215,264260
2026-03-12,Direct,Mobile,Europe,10311,4533,2911,1762,0.4396,0.6422,0.6053,0.1709,347114
2026-03-13,Email,Mobile,South America,17332,9441,4308,2243,0.5447,0.4563,0.5207,0.1294,100935
2026-03-14,Organic Search,Mobile,South America,18251,10902,5459,3143,0.5973,0.5007,0.5757,0.1722,436877
2026-03-15,Email,Tablet,Europe,13198,4859,2770,1674,0.3682,0.5701,0.6043,0.1268,246078
2026-03-16,Paid Social,Mobile,North America,20979,9178,4425,2330,0.4375,0.4821,0.5266,0.1111,146790
2026-03-17,Paid Social,Tablet,Europe,4446,1660,1111,518,0.3734,0.6693,0.4662,0.1165,56980
2026-03-18,Referral,Mobile,North America,29920,19279,12031,6973,0.6444,0.624,0.5796,0.2331,871625
2026-03-19,Paid Search,Mobile,South America,6266,3706,1772,1019,0.5914,0.4781,0.5751,0.1626,68273
2026-03-20,Organic Search,Mobile,South America,16145,7570,5349,2971,0.4689,0.7066,0.5554,0.184,139637
2026-03-21,Email,Tablet,Asia,3409,1239,770,462,0.3634,0.6215,0.6,0.1355,47586
2026-03-22,Referral,Mobile,Europe,27174,15899,10938,6316,0.5851,0.688,0.5774,0.2324,1200040
2026-03-23,Organic Search,Desktop,Europe,5480,3592,1758,999,0.6555,0.4894,0.5683,0.1823,125874
2026-03-24,Paid Search,Mobile,South America,24449,11079,7619,3109,0.4531,0.6877,0.4081,0.1272,568947
2026-03-25,Direct,Desktop,Europe,13184,5488,3104,1764,0.4163,0.5656,0.5683,0.1338,269892
2026-03-26,Paid Search,Mobile,Asia,22380,14497,7391,3917,0.6478,0.5098,0.53,0.175,564048
2026-03-27,Email,Mobile,Asia,12879,5501,2876,1566,0.4271,0.5228,0.5445,0.1216,82998
2026-03-28,Organic Search,Desktop,South America,13978,7223,3131,1273,0.5167,0.4335,0.4066,0.0911,245689
2026-03-29,Email,Tablet,North America,15255,8711,4476,2104,0.571,0.5138,0.4701,0.1379,189360
2026-03-30,Paid Search,Tablet,Asia,13876,7409,4166,2295,0.5339,0.5623,0.5509,0.1654,335070
2026-03-31,Direct,Desktop,South America,13760,5782,3188,1487,0.4202,0.5514,0.4664,0.1081,115986
2026-04-01,Email,Desktop,South America,11074,7227,4170,1662,0.6526,0.577,0.3986,0.1501,167862
2026-04-02,Paid Search,Desktop,North America,13442,8717,5116,3155,0.6485,0.5869,0.6167,0.2347,167215
2026-04-03,Organic Search,Desktop,North America,24124,9781,6191,2978,0.4054,0.633,0.481,0.1234,619424
2026-04-04,Direct,Tablet,Asia,15675,7790,4973,2189,0.497,0.6384,0.4402,0.1396,431233
2026-04-05,Referral,Mobile,South America,16338,9626,6415,3122,0.5892,0.6664,0.4867,0.1911,605668
2026-04-06,Referral,Desktop,Asia,1995,1136,556,301,0.5694,0.4894,0.5414,0.1509,42742
2026-04-07,Paid Social,Mobile,Europe,9039,4539,2365,1288,0.5022,0.521,0.5446,0.1425,144256
2026-04-08,Paid Search,Mobile,South America,5818,2435,1129,688,0.4185,0.4637,0.6094,0.1183,84624
2026-04-09,Referral,Desktop,North America,15373,5519,3661,1448,0.359,0.6633,0.3955,0.0942,208512
2026-04-10,Paid Search,Mobile,Europe,17433,6527,3096,1793,0.3744,0.4743,0.5791,0.1029,283294
2026-04-11,Email,Mobile,Asia,17623,10986,6060,2503,0.6234,0.5516,0.413,0.142,310372
2026-04-12,Organic Search,Mobile,North America,10566,5200,2538,1438,0.4921,0.4881,0.5666,0.1361,181188
2026-04-13,Organic Search,Mobile,Europe,1487,631,436,166,0.4243,0.691,0.3807,0.1116,20584
2026-04-14,Email,Desktop,South America,5918,3459,2262,1277,0.5845,0.6539,0.5645,0.2158,187719
2026-04-15,Paid Search,Desktop,South America,27539,15344,6943,3109,0.5572,0.4525,0.4478,0.1129,444587
2026-04-16,Paid Social,Mobile,Europe,28237,18137,10382,4765,0.6423,0.5724,0.459,0.1688,457440
2026-04-17,Paid Social,Mobile,South America,23010,8975,5044,2827,0.39,0.562,0.5605,0.1229,228987
2026-04-18,Organic Search,Desktop,Asia,14412,6872,4698,2235,0.4768,0.6836,0.4757,0.1551,306195
2026-04-19,Organic Search,Mobile,North America,2243,1427,876,439,0.6362,0.6139,0.5011,0.1957,27657
2026-04-20,Paid Social,Tablet,North America,34552,13853,6382,2962,0.4009,0.4607,0.4641,0.0857,545008
2026-04-21,Referral,Mobile,North America,2188,782,346,138,0.3574,0.4425,0.3988,0.0631,13938
2026-04-22,Email,Tablet,South America,18917,11794,8054,5129,0.6235,0.6829,0.6368,0.2711,620609
